Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,"You can get £100 if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would get then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4/3/2017 15:52:13,Life Sciences,no,0,mu,ja,female,neither,9,5,no,50,4,11:00 pm,complete all tasks planned,having lots of food to eat
4/3/2017 15:52:18,AI,yes,1,mu,ja,male,I have no idea what you are talking about,27-12-1990,1,no,30 cents,31910,23:40,filling out nonsensical forms for a course,if i collect enough data
4/3/2017 15:52:21,Econometrics and Operations Research,no,0,sigma,nee,male,fat,17-05-1992,300,unknown,0,37578887443,23:45,Sunny weather,Being with friends
4/3/2017 15:52:23,Computer Science,no,0,sigma,ja,male,I have no idea what you are talking about,20/09/1994,4,no,100,42,bed*,Pils,In de zon
4/3/2017 15:52:25,data mining,no,0,mu,nee,male,I have no idea what you are talking about,2061987,1,no,100,36,16,sunshine,my stock goes up
4/3/2017 15:52:25,Bio-informatics,yes,0,mu,ja,male,slim,11-06-1994,2,no,5000,7,02:00,A lot of sleep,Alcohol
4/3/2017 15:52:26,AI,yes,1,mu,ja,male,neither,10/01/1993,2,no,10000000000,265000234,Half past the dawn,No one stealing my bike,No one stealing by back wheel
4/3/2017 15:52:26,Business Analytics,yes,1,mu,ja,female,fat,06-07-1994,10,no,1,6,0.3,Gym session leg day,Cold but sunny weather
4/3/2017 15:52:33,ai,no,0,unknown,unknown,male,unknown,11 1 ,1,no,1,7,2222,ffg,hhfg
4/3/2017 15:52:38,Artificial Intelligence,no,0,mu,nee,female,fat,13-03-1994,"1,5",no,20,85,23,Sports,Sun
4/3/2017 15:52:47,Computational Science,unknown,0,unknown,ja,unknown,unknown,07-04-1993,5,no,100,7,Same time as you,Getting a 10 in this course.,Getting a 11 in this course.
4/3/2017 15:53:14,Business Analytics,no,0,mu,nee,female,unknown,10.12.1992,1,no,3,62,01:00,coffee,sun
4/3/2017 15:53:19,BA,yes,1,mu,ja,male,slim,17-11-1993,6,no,5383,9,02:00,lachen,nog meer lachen
4/3/2017 15:53:28,Big data,no,1,mu,ja,male,fat,17-07-1989,1,no,100,50,12,gymming and studies,hard work
4/3/2017 15:53:47,Econometrics,no,0,mu,nee,male,I have no idea what you are talking about,09-08-1992,5,no,30 cent,37,01:00:00,The sun,Good food
4/3/2017 15:54:02,BA,yes,1,mu,ja,male,fat,04-02-94,1,yes,100,21,23:30,Good weather,Good work
4/3/2017 15:54:06,AI,yes,0,mu,nee,male,I have no idea what you are talking about,03-08-1994,1,no,5,44,01:15,Sleep,Sport
4/3/2017 15:54:17,Master Computational Science,yes,0,mu,nee,male,fat,11 may,4,unknown,100,6674,23:59,No responsibilities,Nice Weather
4/3/2017 15:54:19,Master Econometrics,no,1,mu,ja,male,fat,26/02/1994,8,no,0.33,0.1264223432,23:30,Good weather,Friends
4/3/2017 15:54:49,Data Science master (UvA),yes,1,mu,ja,male,I have no idea what you are talking about,05-02-1992,4,no,100,5,01:00,sleep till 10:00,No stress
4/3/2017 15:54:51,AI,yes,1,mu,ja,unknown,neither,04-09-1994,5,no,0,16,NaN,sun,"a lot of work (haha, just kidding? Or?)"
4/3/2017 15:54:54,Artificial Intelligence,no,1,mu,nee,female,neither,21-01-1988,6,no,1,73512,23:00,Coffee,Chocolade
4/3/2017 15:54:55,Econometrics,no,1,mu,nee,male,I have no idea what you are talking about,28-12-1993,1,no,5,1,01:00,No,Yes
4/3/2017 15:55:08,BA,yes,1,mu,ja,male,fat,28-04-995,1,no,100,69,12,Bacon,Money
4/3/2017 15:55:11,Econometrics,no,0,mu,nee,male,I have no idea what you are talking about,02/07/1993,2,no,0.47,5,200,Friends,Mathematics
4/3/2017 15:55:16,CS,yes,unknown,unknown,ja,male,neither,China,300,no,; DROP TABLE *,1 = 1,30,You,Not DM
4/3/2017 15:55:19,Computer Science,yes,1,unknown,ja,female,neither,25/09/1993,1,no,5,7,2,Sunny,Beer
4/3/2017 15:55:19,Bioinformatics & System biology,yes,1,unknown,ja,male,neither,07-08-1991,6,no,8,28,1.3,Good food,Coffee
4/3/2017 15:55:20,CS,no,1,mu,ja,male,neither,20-02-1992,0,no,10,32,1:30,XTC,dancing
4/3/2017 15:55:20,BA,no,unknown,mu,nee,unknown,I have no idea what you are talking about,29/01/1855,-1,unknown,2000,2i,02:21,1,2
4/3/2017 15:55:22,MSc Computational Science,yes,0,mu,ja,male,neither,30.12.1992,3,no,3,2,01:57,Food,Sleep
4/3/2017 15:55:22,BA,no,0,sigma,nee,male,fat,29/04/1994,0,no,5,1,11 pm,Fun,Exercise
4/3/2017 15:55:23,MSc Business Analytics,yes,1,sigma,ja,male,slim,01/09/1995,1,no,40,4,23,A day with programming <3,A neural network which has too many nodes it's a black box
4/3/2017 15:55:25,BA,no,0,mu,nee,male,fat,05/07/1990,0,no,0.8,10,00:06,sun,sex
4/3/2017 15:55:28,Business Analytics,yes,1,sigma,ja,male,I have no idea what you are talking about,02-02-1994,2000,no,30,7,8,Sleep,Food
4/3/2017 15:55:29,computational science,no,0,mu,nee,male,I have no idea what you are talking about,20-12-1700,5,no,0.3,9,23:30,sex,sun
4/3/2017 15:55:30,Business analytics,yes,unknown,mu,ja,male,fat,31-01-95,7,yes,"0,29",2,02:00,Data mining hc,Data mining projects
4/3/2017 15:55:31,AI,yes,1,mu,ja,female,neither,1993,5,no,"0,20",6,1:30,Sunshine,Friends
4/3/2017 15:55:31,ICC master,no,0,sigma,nee,male,neither,16/09/1991,11,no,more than average,9,22.3,sun ,chill
4/3/2017 15:55:32,LS,yes,0,mu,ja,male,I have no idea what you are talking about,29-07-1990,6,no,80,pi,02:30,Apples and Oranges,Enough Sleep
4/3/2017 15:55:32,Quantitative Risk Management,no,0,mu,nee,female,fat,16-12-1990,1,no,0.7,4,1.5,Food,Sex
4/3/2017 15:55:32,Msc Bioinformatics,no,1,unknown,nee,male,fat,21-02-1980,6,no,0.3333,23546463456465486486684867867676434687867616687616487,22:15,Beer,Sex
4/3/2017 15:55:32,Business analytics ,no,0,mu,ja,female,I have no idea what you are talking about,3 july,4,unknown,5000,3,20,No class,Coffee in the morning 
4/3/2017 15:55:33,Exchange,no,0,mu,ja,male,I have no idea what you are talking about,30/01,0,no,20,7,2am,No rain ,Bike not broken 
4/3/2017 15:55:33,BA,yes,1,sigma,ja,male,fat,05-07-1995,1,no,101,5,00:30,Sunshine ,Kapsalondag
4/3/2017 15:55:33,Computational science,no,0,mu,ja,male,neither,12/11/1994,3,no,1,5,02:00,Holiday ,Traveling
4/3/2017 15:55:33,MA Life Sciences,no,0,mu,nee,female,slim,08/01/1995,8,no,£1,9,2am ,Waking up next to the SO,Having tea
4/3/2017 15:55:33,Econometrics,no,0,mu,nee,male,fat,24-12-1992,4,no,1,96,23:30,Beer,Music
4/3/2017 15:55:34,LS,yes,0,unknown,nee,male,I have no idea what you are talking about,18/02/1993,5,no,0.5,1,23:59,Coffee,Sleep
4/3/2017 15:55:35,Computational Science,no,unknown,mu,nee,female,fat,28-08-1993,7,no,25,3,1:00,Sunny,Free
4/3/2017 15:55:36,CS,no,0,mu,nee,male,fat,07/03/1991,5,no,4,6,23:00,SEX,MONEY
4/3/2017 15:55:36,Business Analytics,yes,1,mu,ja,female,I have no idea what you are talking about,02/11/1992,300,no,10,4,04:00,sleep,food
4/3/2017 15:55:36,QRM ,no,0,mu,nee,male,slim,14-06-1994,158(,yes,Derp,你爱小弟弟吗？,I did not,Bitches,Booze
4/3/2017 15:55:36,Econometrics,yes,0,mu,nee,male,neither,April,0,no,0.3£,1,2:30,sun,sports
4/3/2017 15:55:37,-life science-sytems biology,no,0,mu,nee,male,neither,20-4-1994,6,no,0.3,42,01:00,weed,sex
4/3/2017 15:55:37,EOR,no,0,mu,nee,male,slim,27/10,7,no,1,4,23:00,Sun,Running
4/3/2017 15:55:37,MSc Bioinformatics,yes,0,mu,nee,female,fat,07.11.1989,1,no,1,7,1.3,Lots of sleep,Good food
4/3/2017 15:55:38,Business Analytics,no,0,mu,nee,female,neither,30.07.1993,5,no,16,3,23:30,sun (y/n),chocolate
4/3/2017 15:55:38,AI,no,1,mu,nee,male,I have no idea what you are talking about,04-12-1991,7,yes,25,87,01:00,sun,sunshine
4/3/2017 15:55:39,BA,yes,1,mu,ja,male,I have no idea what you are talking about,04/05/1995,3,no,101,2,23:30,Beer,Sex
4/3/2017 15:55:40,BA,yes,1,mu,ja,female,slim,26-12-2000,5,no,10,7,24:00,Sun,Sport
4/3/2017 15:55:40,AI,no,0,mu,nee,male,fat,03-11-1993,3,no,60,2,1:30,Fun,Sport
4/3/2017 15:55:40,BA,yes,1,mu,ja,female,I have no idea what you are talking about,1991-12-21,4,no,1,8,00:00,Getting a good grade back,A sunny day when I can be outside
4/3/2017 15:55:40,Computational Science,no,0,mu,nee,male,I have no idea what you are talking about,14-03-1990,5,no,100/300,5,23,Coffee!,And Sleep
4/3/2017 15:55:41,Bsc. Econometrics & Operations Research,yes,0,mu,nee,unknown,unknown,13-3-1996,0,unknown,1000,3.114455663,25,Jesus,Girlfriend
4/3/2017 15:55:41,Computational Science,yes,1,mu,ja,male,neither,19-09-1994,5,no,100,9,3,Monster,Chips
4/3/2017 15:55:43,BA,yes,1,mu,ja,male,I have no idea what you are talking about,1993,3,no,0.5,3.6,2,hapiness ,sun
4/3/2017 15:55:43,Business Analytics,yes,1,mu,ja,male,I have no idea what you are talking about,02-02-1990,3,no,100,6,22.3,Beer,Sex
4/3/2017 15:55:43,MSc Econometrics and Operations Research,yes,1,mu,ja,male,I have no idea what you are talking about,15-07,4,no,1,8558963378,0:00,Sex,Beer
4/3/2017 15:55:43,MSc Artificial Intelligence UvA,yes,1,mu,ja,male,neither,30/10/1993,4,no,50,6,1:30,Good food,Sleep
4/3/2017 15:55:43,Computational Science,no,0,unknown,nee,male,I have no idea what you are talking about,07 March 1992,1,no,0.5,-1,23:00,Sleep,More sleep
4/3/2017 15:55:43,Econometrics & Operational Research,no,0,mu,nee,male,I have no idea what you are talking about,07/03/1995,2,no,100,10,00:15,Laughing,Being able to finish my work
4/3/2017 15:55:44,AI,no,0,mu,nee,female,fat,24/03/1993,5,no,"0,5",1,1,Seeing friends ,Passing my exams 
4/3/2017 15:55:45,BA,no,1,mu,nee,male,neither,15-10-1992,3,no,24,7,23:05,Driving a lamborghini,Winning the lottery
4/3/2017 15:55:45,Business analytics,yes,1,mu,ja,male,fat,8-5-92,3,no,100,9,23,Weather,No lecture af 9 am
4/3/2017 15:55:45,Msc Artificial Intelligence (UvA),yes,1,mu,ja,male,fat,19940906,7,no,0,6,1:45,Sun,Friends
4/3/2017 15:55:48,Finance,yes,0,mu,nee,male,I have no idea what you are talking about,02/06/1989,5,yes,0.5,7,01:00,Sleep,Good weather
4/3/2017 15:55:49,QRM,no,0,mu,nee,female,fat,20-11-1992,2,no,1,8,24:00,Good weather,No exams
4/3/2017 15:55:49,EOR,no,0,mu,nee,male,fat,09-08-1993,4,no,1,9,02:00,sushi,sander lam
4/3/2017 15:55:49,Msc. Finance,no,0,mu,nee,male,fat,22-06-1990,5,no,3,6,23:00,Nice weather,Good coffee
4/3/2017 15:55:50,Master Bioinformatics,yes,0,mu,nee,female,I have no idea what you are talking about,03/03,8,no,10,7,01:00,good food,enough sleep
4/3/2017 15:55:50,AI,no,0,mu,unknown,male,neither,july 6th,1,no,50,8,23:00,Friends,Food
4/3/2017 15:55:50,AI,yes,1,mu,ja,male,neither,22-08-1994,4,no,1,7,0,Good grade,Ajax winning
4/3/2017 15:55:51,Bioinformatics,yes,0,unknown,nee,female,fat,8 december,300,no,0.33,2,0.3,The sun shining,Having nice plans with friends
4/3/2017 15:55:51,QRM,no,0,mu,nee,male,fat,25-11-1989,4,no,5,7,12:00,sun,no alarm 
4/3/2017 15:55:51,Msc Artificial Intelligence,yes,1,unknown,unknown,male,I have no idea what you are talking about,11-08-1989,1,no,The average amount,5,3:00,Spare time,Good weather
4/3/2017 15:55:51,BA,yes,1,mu,ja,male,fat,16-05,298,no,0.5,2,23:00,Beer,Sun
4/3/2017 15:55:52,AI,no,0,sigma,ja,male,neither,15/01/1980,3,yes,100,13,2300,learning,relaxation
4/3/2017 15:55:52,AI,yes,0,unknown,nee,male,neither,10-11-1991,3,unknown,"0,30",6,11:55,Freedom,Liberation
4/3/2017 15:55:53,BA,yes,1,mu,ja,female,fat,18-07-1995,4,no,100,11,00:30 ,That Ajax beats Feyenoord.,That Max Verstappen wins a GP.
4/3/2017 15:55:53,Master Econometrics,no,0,mu,nee,female,neither,04-05,50,no,1,4,11pm,Good grades,Winning
4/3/2017 15:55:54,Business Anaytics ,no,0,mu,nee,female,fat,02.08.1994 ,1,no,0.3,56,01:56,Sun,Coffee
4/3/2017 15:55:55,QRM,no,0,mu,nee,male,unknown,1-1-1990,2,no,100,6,2,Ajax wins,Barcelona loses
4/3/2017 15:55:55,Econometrics,no,0,mu,nee,male,fat,14-05-1993,7,no,1,8,03:00,sun,no obligations
4/3/2017 15:55:58,Econometrics & OR,no,0,mu,nee,male,I have no idea what you are talking about,17.09.,5,no,£10,7,1.30am,Waking up,Hot shower
4/3/2017 15:55:58,CS,yes,unknown,sigma,ja,male,neither,1992-07-20,3,no,1,9,5 AM,Good night's rest,Work/play balance
4/3/2017 15:55:59,MSc Artificial Intelligence UvA,yes,1,mu,ja,male,fat,28-nov-1994,3,no,0,6,2:00,Beer,Friends
4/3/2017 15:55:59,Econometrics,no,0,mu,nee,female,neither,19-06-1989,5,no,1,"7,3",05:30,Gering a good graden back,Getting a wel deserved compliment
4/3/2017 15:56:02,BA,no,0,mu,ja,female,fat,12 february ,4,no,90,25,24,Text message,Nice weather 
4/3/2017 15:56:02,BA,yes,1,mu,ja,male,slim,adlk;jl112413,-1,unknown,105,pi,onder andere,ㅏ마더ㅏㅁ아ㄷ마ㅏ,ㅏ돔아ㅐㅏ마오됴ㅗ
4/3/2017 15:56:02,CS,no,0,unknown,ja,male,neither,01/05/1989,0,no,100,7,11AM,Rick and Morty ,Graduation 
4/3/2017 15:56:03,BA,yes,0,mu,nee,male,fat,22-08,4,no,3,1,2:00,Good night rest,No deadlines on that day
4/3/2017 15:56:03,EOR,no,0,mu,nee,female,neither,13-09-1995,7,no,0,9,23:45,Good food,Good weather
4/3/2017 15:56:05,Msc Computational ,yes,1,sigma,ja,male,I have no idea what you are talking about,19/08/1992,1,no,3,8,15:55,Halo,Friends
4/3/2017 15:56:05,AI,no,0,mu,nee,female,fat,02-10-1995,2,no,5,7,00:45,lot of sun,time to relax
4/3/2017 15:56:05,EOR,no,0,mu,nee,female,neither,16-10-1994,4,no,0,5,late,Chocolate,Being social
4/3/2017 15:56:06,BA,yes,0,mu,nee,male,fat,10-08-1990,300,no,100/n,9,23:59,Enough sleep,Sports
4/3/2017 15:56:07,Econmetrics,no,0,mu,nee,male,fat,3-3-1987,4,no,55,3,2am,I shorted GBP againt EUR successfully,Copped my pair favorite sneakers
4/3/2017 15:56:07,MSc Bioinformatics,yes,unknown,mu,ja,female,slim,04/02/1990,1,no,2,4,22.4,(Good) Food,Sun
4/3/2017 15:56:08,BA,yes,unknown,mu,ja,female,neither,06-10,2,no,0.33,42,2330,Having fun,Summer
4/3/2017 15:56:09,CS,no,1,mu,ja,male,fat,28/08/1993,5,no,88,8,3,nice whether,alcohol
4/3/2017 15:56:10,CS,no,1,mu,ja,male,neither,11/12/1994,3,no,33,3,6,Nice weather,Alcohol
4/3/2017 15:56:12,BA,yes,1,mu,ja,male,I have no idea what you are talking about,25-11/1994,3,no,"42,420",42,22:45,Sex,Boardgames
4/3/2017 15:56:13,Quantitative Risk Management,no,0,mu,nee,male,slim,26-09-1992,1,no,1,7,04:00,Ending it as a single man,Looking in the mirror
4/3/2017 15:56:13,Business Analytics,yes,1,mu,ja,female,neither,21 may 1992,7,no,1,5,02:00,Breakfast,Activity
4/3/2017 15:56:13,Computer Science,no,0,mu,nee,male,fat,23-07-1991,0,no,50,993429342781329453245,22:30,Good grades for study,Achieving what I wanted to achieve  
4/3/2017 15:56:14,BA,yes,0,mu,nee,male,neither,10-02-1990,5,no,2,23,00:30,Sex,Sports
4/3/2017 15:56:15,Master econometrics ,no,0,mu,ja,male,fat,5 mei 1994,80,no,100,7,00:00,Progress ,WINNING
4/3/2017 15:56:15,Econometrics and Operations Research,no,unknown,mu,nee,female,neither,11-06-1993,8,no,0.33 cent ,100,00:15,Sun shine ,Data
4/3/2017 15:56:16,BA,yes,unknown,mu,ja,female,fat,18-6,1,no,0.33,36,2245,Sun,Rain
4/3/2017 15:56:17,BA,yes,1,mu,ja,female,neither,26-01-1995,3,no,1,8,00:30,Good night sleep,Food
4/3/2017 15:56:17,Computational Science,yes,1,mu,ja,male,I have no idea what you are talking about,1996 jul 6,7,no,0.42,3,1:45 AM,Happy people,Chocolate
4/3/2017 15:56:17,Computational Science,yes,1,mu,ja,male,I have no idea what you are talking about,1996 jul 6,7,no,0.42,3,1:45 AM,Happy people,Chocolate
4/3/2017 15:56:21,BA,yes,1,mu,ja,male,fat,26-02,1,no,0.33,2,2.15,Eat chocolate,Sleep in
4/3/2017 15:56:22,BA,yes,0,mu,nee,male,neither,30-07-1992,2,no,1,3,22.3,Good weather,Smile 
4/3/2017 15:56:23,BA,yes,1,mu,ja,female,neither,30-01-1995,6,no,0,7,23:00,Sunshine,Food
4/3/2017 15:56:26,Data Mining,no,1,mu,nee,male,slim,07-09-1899,2,no,2,7,23:45,Having a good hairday,Making new friends
4/3/2017 15:56:26,Business Analytics,no,0,mu,nee,female,I have no idea what you are talking about,20-11-1994,2,no,2euro,20,22,Nice weather,To get a kiss
4/3/2017 15:56:31,EOR,no,0,mu,nee,male,fat,23/12,7,no,0.5,2,5 am,Good night sleep,No need for an alarm
4/3/2017 15:56:32,Mathematics Master's  (Biomedical specialization),no,1,mu,nee,male,neither,06/12/1993,0,no,0.5,42,1AM,Learning something interesting,Good food
4/3/2017 15:56:33,Business Analytics,no,0,mu,nee,male,slim,17.10.1991,5,no,33,8,01:00,Salary day,Apple
4/3/2017 15:56:37,Econometrics,no,0,mu,nee,male,neither,26-03-1993,4,no,0.33,3,22.45,Nice weather,-
4/3/2017 15:56:53,Computer Science,no,0,sigma,nee,male,fat,19/01/1992,299,no,£.33,8,12 PM,Getting an 8 grade in DM,Getting a 9 grade in DM
4/3/2017 15:57:04,Business Analytics,yes,1,mu,ja,female,neither,17-12-1994,7,no,40,"3,14",0,Being with friends or family ,I have a good day when it's sunny outside 
4/3/2017 15:57:14,SFM,no,0,mu,nee,female,fat,05/07/1983,2,no,1,10,22:00,Hi,Rice pancake
4/3/2017 15:57:51,econometrics,no,unknown,mu,nee,female,neither,20-07-1994,2,no,0,4,00:10,good weather,no stress
4/3/2017 19:50:59,M.Sc. Artificial Intelligence,yes,1,mu,ja,female,slim,02-12-1993,1,no,£100,6,23,sunshine,beer
